project_id,district_code,intervention_id,partner,start_date,planned_end_date,actual_end_date,cost_usd,baseline_risk_score,total_delay_days,achieved_outcome_score,realized_risk_reduction,delivered_on_time,achieved_min_outcome,community_engagement_score,post_project_audit_score,post_project_satisfaction_score
P01264,d095,I04,CivicResilience NGO,2021-08-30,2023-06-21,2023-11-09,523200,83.24,141,58.5,0.056,0,0,40.32,62.65,52.1
P01265,D-077,I03,RapidRelief Local,2021-09-17,2023-07-09,2023-11-10,671700,60.8,124,63.35,0.356,0,1,38.17,63.13,57.76
P01266,D-083,I03,BlueRiver Implementers,2022-11-18,2024-09-08,2024-12-28,969300,59.58,111,52.52,0.216,0,0,64.11,49.3,54.97
P01267,D-119,I08,SunBuild Initiative,2023-10-13,2025-05-05,2025-08-26,640200,64.09,113,45.27,0.154,0,0,47.89,46.21,52.29
P01268,D-057,I06,CommunityFirst,2023-09-19,2025-04-11,2025-07-02,421400,64.63,82,73.66,0.5,0,1,74.4,72.15,75.39
P01269,D-012,I11,Delta Engineering,2022-06-05,2023-07-30,2023-09-20,1128500,65.43,52,58.29,0.138,0,0,48.53,66.51,54.96
P01270,D-039,I01,CommunityFirst,2023-12-15,2025-01-08,2025-03-11,1337900,59.36,62,81.91,0.33,0,1,77.81,81.18,75.68
P01271,D-057,I03,RapidRelief Local,2022-02-14,2023-12-06,2024-04-14,754100,72.16,130,52.53,0.154,0,0,29.05,54.63,42.16
P01272,D-093,I16,RapidRelief Local,2022-11-27,2024-05-20,2024-08-22,1012000,61.67,94,59.78,0.072,0,0,35.05,59.53,50.67
P01273,D-034,I08,Delta Engineering,2021-04-23,2022-11-14,2023-02-23,699300,62.07,101,61.3,0.317,0,1,48.27,58.96,54.35
P01274,D-034,I07,InfraTrust Consortium,2021-07-24,2022-11-16,2023-02-12,1710000,63.2,88,77.48,0.332,0,1,58.38,74.11,78.16
P01275,D-101,I16,HydroBuild Co,2023-11-30,2025-05-23,2025-08-23,961600,76.48,92,75.62,0.313,0,1,41.45,77.89,67.16
P01276,D-076,I10,BlueRiver Implementers,2021-01-13,2022-02-07,2022-02-16,539700,64.01,9,68.89,0.211,1,1,55.13,74.66,65.82
P01277,D-027,I10,GreenWorks Alliance,2024-01-16,2025-02-09,2025-03-15,460200,63.0,34,81.38,0.198,1,1,47.75,81.68,70.91
P01278,D-020,I08,HeatSafe Partners,2023-01-30,2024-08-22,2024-11-20,703900,60.37,90,69.93,0.384,0,1,80.95,69.22,74.92
P01279,D-097,I17,CommunityFirst,2022-12-15,2024-05-08,2024-07-28,2137500,66.27,81,84.28,0.308,0,1,62.1,83.0,74.72
P01280,D024,I14,HydroBuild Co,2023-06-17,2025-03-08,2025-04-22,1374200,75.53,45,76.65,0.349,1,1,54.16,86.02,68.83
P01281,D-013,I17,BlueRiver Implementers,2021-03-01,2022-07-24,2022-10-08,1601600,60.44,76,63.78,0.26,0,1,52.29,65.56,59.63
P01282,D-115,I06,InfraTrust Consortium,2021-08-10,2023-03-03,2023-06-09,609600,78.53,98,69.53,0.5,0,1,67.37,68.4,72.81
P01283,D-078,I18,HydroBuild Co,2021-02-27,2022-10-20,2023-03-14,775700,74.68,145,74.91,0.32,0,1,63.01,71.65,63.42
P01284,D-074,I17,InfraTrust Consortium,2021-08-17,2023-01-09,2023-04-18,1956700,87.6,99,67.14,0.31,0,1,67.88,76.0,60.33
P01285,D-023,I18,SunBuild Initiative,2023-06-22,2025-02-11,2025-06-03,932600,79.88,112,61.79,0.215,0,1,48.07,63.3,59.88
P01286,D-041,I06,Delta Engineering,2022-10-29,2024-05-21,2024-09-03,963700,71.14,105,47.42,0.182,0,0,47.5,58.0,51.86
P01287,D-013,I05,RapidRelief Local,2022-04-12,2024-02-01,2024-03-28,428600,47.15,56,67.41,0.233,0,1,67.12,63.27,69.34
P01288,D-016,I01,HydroBuild Co,2021-02-28,2022-03-25,2022-05-29,985300,57.91,65,79.41,0.209,0,1,60.11,83.46,67.16
P01289,D-036,I17,SunBuild Initiative,2022-06-02,2023-10-25,2024-01-04,1963500,86.4,71,60.4,0.26,0,1,22.13,61.4,36.19
P01290,D-113,I13,InfraTrust Consortium,2021-05-03,2022-12-24,2023-04-02,1929700,70.78,99,77.67,0.362,0,1,50.88,83.17,71.72
P01291,D-073,I06,RapidRelief Local,2021-03-19,2022-10-10,2023-02-02,959600,82.0,115,49.58,0.201,0,0,48.57,47.43,46.8
P01292,D-104,I17,Delta Engineering,2021-12-04,2023-04-28,2023-07-28,2403000,72.1,91,70.2,0.252,0,1,53.42,70.14,60.79
P01293,D-119,I06,CivicResilience NGO,2021-06-06,2022-12-28,2023-04-09,747200,74.24,102,69.05,0.422,0,1,46.71,65.1,64.24
P01294,D-037,I05,GreenWorks Alliance,2021-09-03,2023-06-25,2023-09-30,378500,81.03,97,73.0,0.317,0,1,38.49,71.87,58.81
P01295,D-090,I13,CivicResilience NGO,2022-01-06,2023-08-29,2023-11-02,1570500,64.69,65,65.91,0.218,0,1,44.22,66.19,66.75
P01296,D-001,I12,Delta Engineering,2021-05-23,2022-09-15,2022-12-19,1706000,71.84,95,62.2,0.336,0,1,54.19,65.1,53.23
P01297,D-048,I16,Delta Engineering,2022-04-17,2023-10-09,2023-12-26,734900,82.59,78,67.3,0.251,0,1,38.84,65.5,56.05
P01298,D-048,I08,CommunityFirst,2022-08-21,2024-03-13,2024-07-18,545300,90.09,127,60.2,0.391,0,1,66.22,68.58,72.91
P01299,D-054,I09,HydroBuild Co,2021-03-22,2023-01-11,2023-06-06,641100,47.2,146,52.03,0.174,0,0,68.38,58.39,61.76
P01300,D-037,I14,HeatSafe Partners,2021-05-19,2023-02-08,2023-05-09,1844900,67.0,90,54.7,0.174,0,0,44.34,59.74,46.04
P01301,D-074,I14,SunBuild Initiative,2022-06-15,2024-03-06,2024-07-15,1028100,87.11,131,45.36,0.12,0,0,53.0,43.57,50.44
P01302,D-080,I09,SunBuild  Initiative,2023-06-13,2025-04-03,2025-09-07,902200,85.42,157,57.61,0.105,0,0,50.01,56.18,54.41
P01303,D 082,I07,Delta Engineering,2023-04-22,2024-08-14,2024-10-06,1176400,77.02,53,59.93,0.114,0,0,46.46,55.35,56.56
P01304,D-035,I10,GreenWorks Alliance,2021-11-28,2022-12-23,2023-01-17,380800,45.4,25,59.13,0.064,1,0,37.58,52.45,52.81
P01305,D-120,I08,Delta Engineering,2023-07-16,2025-02-05,2025-04-26,492400,86.26,80,78.33,0.418,0,1,59.55,79.23,73.04
P01306,D-044,I07,BlueRiver Implementers,2021-12-03,2023-03-28,2023-05-11,893800,89.27,44,73.92,0.308,1,1,53.29,73.2,70.47
P01307,D119,I12,HydroBuild Co,2022-06-06,2023-09-29,2023-12-10,1794300,64.46,72,60.21,0.37,0,1,50.12,59.97,60.06
P01308,D-039,I13,HydroBuild Co,2022-06-10,2024-01-31,2024-05-20,2077200,84.08,110,57.07,0.185,0,0,51.71,56.8,55.82
P01309,D-096,I05,HeatSafe Partners,2021-09-27,2023-07-19,2023-10-30,688400,62.57,103,67.94,0.314,0,1,49.21,67.9,67.86
P01310,D-114,I06,RapidRelief Local,2021-07-02,2023-01-23,2023-05-04,633900,63.93,101,63.62,0.466,0,1,57.3,59.45,72.43
P01311,D-054,I01,HeatSafe Partners,2023-12-04,2024-12-28,2025-02-20,927500,62.42,54,67.61,0.227,0,1,55.2,60.72,67.12
P01312,D-120,I01,InfraTrust Consortium,2023-10-14,2024-11-07,2024-12-28,1106900,82.05,51,83.76,0.278,0,1,59.46,81.08,77.19
P01313,D-023,I06,HeatSafe Partners,2022-05-07,2023-11-28,2024-02-07,556600,89.87,71,78.72,0.5,0,1,49.68,78.96,64.13
P01314,D-063,I09,CivicResilience NGO,2022-07-11,2024-05-01,2024-10-03,760500,82.23,155,49.44,0.086,0,0,28.2,44.07,37.89
P01315,D-008,I01,RapidRelief Local,2022-11-19,2023-12-14,2024-01-19,1712900,90.16,36,56.54,0.096,1,0,53.09,53.26,55.73
P01316,D 085,I01,RapidRelief Local,2023-12-20,2025-01-13,2025-02-22,1583600,64.78,40,63.29,0.248,1,1,50.45,63.37,54.73
P01317,D-060,I08,InfraTrust Consortium,2021-07-10,2023-01-31,2023-04-13,453400,61.43,72,82.96,0.5,0,1,71.02,79.8,82.14
P01318,D-017,I10,HydroBuild Co,2022-02-22,2023-03-19,2023-04-19,353100,85.39,31,78.84,0.218,1,1,45.03,79.4,58.33
P01319,D-051,I12,CivicResilience NGO,2023-02-16,2024-06-10,2024-07-17,2249700,54.5,37,52.25,0.151,1,0,56.25,49.39,46.61
P01320,D-054,I01,CivicResilience NGO,2021-10-09,2022-11-03,2023-01-18,1349500,50.43,76,62.54,0.21,0,1,40.17,66.69,55.11
P01321,D-018,I14,InfraTrust Consortium,2022-10-02,2024-06-23,2024-10-12,1300600,62.14,111,75.66,0.454,0,1,59.95,68.95,75.17
P01322,D-100,I04,CommunityFirst,2021-08-08,2023-05-30,2023-09-23,561500,79.16,116,64.97,0.231,0,1,46.55,54.6,60.68
P01323,D-098,I01,HydroBuild Co,2021-08-14,2022-09-08,2023-01-04,1780900,78.36,118,69.08,0.239,0,1,58.0,68.87,67.13
P01324,D-114,I11,CommunityFirst,2023-03-14,2024-05-07,2024-07-29,897200,56.91,83,80.52,0.5,0,1,80.69,78.51,85.14
P01325,D-109,I01,HydroBuild Co,2022-10-19,2023-11-13,2024-01-25,1427700,73.56,73,64.59,0.15,0,1,49.74,65.91,55.67
P01326,D-074,I18,InfraTrust Consortium,2021-07-20,2023-03-12,2023-07-19,877100,92.24,129,68.49,0.373,0,1,70.93,70.73,70.64
P01327,D-118,I06,CivicResilience NGO,2023-01-19,2024-08-11,2024-11-30,343600,67.07,111,55.94,0.205,0,0,49.65,58.01,45.34
P01328,D-067,I11,GreenWorks Alliance,2023-12-17,2025-02-09,2025-04-23,723700,88.53,73,47.47,0.144,0,0,39.77,49.14,43.12
P01329,D-047,I03,HeatSafe Partners,2021-12-23,2023-10-14,2023-12-28,617800,50.2,75,59.95,0.207,0,0,53.51,60.42,55.62
P01330,D-049,I10,CivicResilience NGO,2022-10-10,2023-11-04,2023-12-19,448600,68.08,45,64.58,0.2,1,1,36.42,71.15,58.88
P01331,D-085,I07,RapidRelief Local,2022-11-08,2024-03-02,2024-04-24,932200,57.67,53,55.35,0.118,0,0,65.05,49.52,60.37
P01332,D-119,I02,RapidRelief Local,2023-10-25,2024-12-18,2025-02-22,1513700,60.05,66,71.0,0.239,0,1,68.2,67.09,68.77
P01333,D-071,I14,Delta Engineering,2021-12-26,2023-09-17,2023-11-29,1860100,94.07,73,60.71,0.332,0,1,40.74,63.71,58.39
P01334,D-079,I17,HeatSafe Partners,2023-10-23,2025-03-16,2025-05-11,1223200,85.71,56,68.3,0.288,0,1,64.74,68.35,67.26
P01335,D-078,I11,SunBuild Initiative,2021-07-13,2022-09-06,2022-10-29,948900,76.4,53,48.52,0.056,0,0,38.43,42.09,42.78
P01336,D-093,I14,HydroBuild Co,2023-03-21,2024-12-10,2025-03-16,1519600,61.24,96,82.39,0.348,0,1,60.41,84.66,81.54
P01337,D-088,I05,HeatSafe Partners,2022-12-20,2024-10-10,2024-12-04,575400,82.73,55,63.33,0.391,0,1,70.52,63.25,67.67
P01338,D-038,I02,RapidRelief Local,2021-03-12,2022-05-06,2022-05-22,2031300,81.98,16,74.37,0.274,1,1,60.72,74.95,68.38
P01339,D-120,I09,BlueRiver Implementers,2022-02-27,2023-12-19,2024-05-11,730000,93.05,144,69.95,0.364,0,1,40.25,75.39,61.65
P01340,D-041,I16,HydroBuild Co,2022-10-13,2024-04-05,2024-07-31,951900,77.05,117,53.8,0.126,0,0,64.14,52.53,67.08
P01341,D-064,I08,HeatSafe Partners,2021-07-22,2023-02-12,2023-08-02,267600,63.22,171,54.53,0.176,0,0,48.86,51.82,48.71
P01342,D-049,I05,CivicResilience NGO,2023-06-01,2025-03-22,2025-06-24,781200,65.15,94,65.83,0.35,0,1,55.13,73.61,64.28
P01343,D-012,I03,CommunityFirst,2022-05-05,2024-02-24,2024-04-28,1418100,51.86,64,65.69,0.5,0,1,66.05,65.88,58.8
P01344,D-108,I09,CivicResilience NGO,2022-04-24,2024-02-13,2024-06-28,577000,81.31,136,47.31,0.138,0,0,64.55,47.26,56.97
P01345,D-074,I13,SunBuild Initiative,2021-08-15,2023-04-07,2023-09-07,1396000,83.56,153,38.85,0.07,0,0,45.07,33.53,40.55
P01346,D-066,I02,Delta Engineering,2023-12-12,2025-02-04,2025-03-08,1647200,70.77,32,57.36,0.128,1,0,46.19,55.19,42.18
P01347,D-012,I12,HydroBuild Co,2023-02-08,2024-06-02,2024-08-11,2635000,60.82,70,71.95,0.323,0,1,38.02,69.49,64.47
P01348,D-007,I03,InfraTrust Consortium,2021-06-23,2023-04-14,2023-07-30,688000,59.38,107,80.26,0.5,0,1,80.15,83.09,91.43
P01349,D-003,I16,SunBuild Initiative,2023-10-24,2025-04-16,2025-07-30,912800,59.48,105,55.84,0.071,0,0,45.51,53.8,48.06
P01350,D-078,I10,InfraTrust Consortium,2023-02-24,2024-03-20,2024-04-10,423200,89.5,21,74.85,0.326,1,1,64.26,76.43,68.27
P01351,D-028,I02,RapidRelief Local,2023-06-01,2024-07-25,2024-09-07,1868500,70.76,44,71.25,0.299,1,1,52.92,66.29,65.38
P01352,D-021,I04,CivicResilience NGO,2021-10-23,2023-08-14,2023-12-27,760400,86.06,135,55.23,0.108,0,0,62.32,58.52,64.0
P01353,D-088,I16,RapidRelief Local,2023-05-07,2024-10-28,2025-02-24,583000,93.66,119,45.68,0.124,0,0,53.98,45.6,47.27
P01354,D-086,I07,GreenWorks Alliance,2021-01-04,2022-04-29,2022-07-30,981200,60.97,92,66.38,0.24,0,1,62.28,56.81,64.32
P01355,D-003,I14,CommunityFirst,2022-02-16,2023-11-08,2024-03-09,1337800,58.17,122,66.81,0.459,0,1,70.67,67.57,64.64
P01356,D-054,I02,RapidRelief Local,2022-07-04,2023-08-28,2023-10-10,1946400,66.64,43,54.37,0.105,1,0,48.04,52.83,60.69
P01357,D-006,I15,CommunityFirst,2021-11-23,2023-01-17,2023-03-15,949600,83.13,57,75.51,0.5,0,1,68.62,79.07,66.77
P01358,D-095,I03,GreenWorks Alliance,2022-04-17,2024-02-06,2024-05-10,934200,87.73,94,60.52,0.387,0,1,65.27,57.19,66.85
P01359,D-107,I14,HydroBuild Co,2022-03-08,2023-11-28,2024-02-26,1280900,68.38,90,74.22,0.37,0,1,78.94,68.68,70.4
P01360,D-057,I11,InfraTrust Consortium,2022-11-06,2023-12-31,2024-02-19,711300,74.7,50,80.47,0.419,0,1,81.67,84.65,82.19
P01361,D-068,I02,CommunityFirst,2022-09-04,2023-10-29,2024-01-13,1599800,69.19,76,85.97,0.336,0,1,78.23,87.54,73.34
P01362,D-031,I18,HeatSafe Partners,2021-04-16,2022-12-07,2023-04-25,621800,69.44,139,65.01,0.309,0,1,58.64,70.51,58.11
P01363,D-111,I14,CommunityFirst,2023-05-11,2025-01-30,2025-05-10,1254700,77.51,100,84.47,0.471,0,1,64.23,85.74,79.23
P01364,D-025,I04,BlueRiver Implementers,2023-02-24,2024-12-15,2025-04-05,504900,68.03,111,59.31,0.08,0,0,47.06,55.89,57.0
P01365,D-009,I08,GreenWorks Alliance,2022-04-06,2023-10-28,2024-02-14,629400,71.89,109,63.04,0.281,0,1,42.31,61.63,60.76
P01366,D-023,I03,GreenWorks Alliance,2022-12-16,2024-10-06,2025-02-27,522800,75.89,144,52.26,0.169,0,0,58.65,58.02,49.95
P01367,D-080,I02,SunBuild Initiative,2021-11-13,2023-01-07,2023-03-10,1047000,77.77,62,36.72,0.069,0,0,50.88,36.31,37.75
P01368,D-078,I09,HeatSafe Partners,2023-02-18,2024-12-09,2025-04-08,891900,80.57,120,73.14,0.402,0,1,57.94,74.26,62.8
P01369,D-011,I12,GreenWorks Alliance,2023-09-25,2025-01-17,2025-03-02,2438700,75.76,44,61.45,0.355,1,1,63.5,59.0,56.24
P01370,D-084,I12,HydroBuild Co,2022-12-03,2024-03-27,2024-06-01,1938900,49.89,66,68.84,0.378,0,1,44.61,77.78,62.19
P01371,D-054,I04,SunBuild Initiative,2021-11-20,2023-09-11,2023-12-22,556700,62.33,102,48.25,0.087,0,0,25.46,53.84,36.64
P01372,D-085,I04,Delta Engineering,2023-03-06,2024-12-25,2025-03-29,754500,55.85,94,65.13,0.198,0,1,57.17,66.76,62.33
P01373,D-036,I03,CivicResilience NGO,2021-10-26,2023-08-17,2024-02-11,492400,85.86,178,64.89,0.373,0,1,33.81,64.51,52.5
P01374,D-119,I07,HydroBuild Co,2023-10-13,2025-02-04,2025-03-29,685600,66.66,53,68.31,0.25,0,1,55.97,68.71,68.69
P01375,D-053,I06,GreenWorks Alliance,2022-03-28,2023-10-19,2024-01-24,644800,62.53,97,75.86,0.5,0,1,47.73,81.5,59.66
P01376,D 041,I01,HeatSafe Partners,2021-06-23,2022-07-18,2022-10-18,917600,80.29,92,78.71,0.162,0,1,61.61,84.63,68.79
P01377,D-006,I13,HydroBuild Co,2021-07-27,2023-03-19,2023-08-03,1564400,74.4,137,42.58,0.118,0,0,46.09,37.41,41.4
P01378,D-082,I05,HydroBuild Co,2021-02-23,2022-12-15,2023-03-29,779700,65.55,104,58.37,0.143,0,0,31.35,64.94,37.54
P01379,D-092,I05,BlueRiver Implementers,2021-12-04,2023-09-25,2024-01-14,368600,66.04,111,72.35,0.373,0,1,51.19,76.01,61.35
P01380,D-049,I13,GreenWorks Alliance,2023-02-08,2024-09-30,2024-12-30,1333300,65.07,91,53.81,0.119,0,0,45.31,55.21,58.28
P01381,D-113,I11,InfraTrust Consortium,2022-06-11,2023-08-05,2023-10-21,667400,64.29,77,79.93,0.468,0,1,69.59,81.07,77.7
P01382,D-041,I18,BlueRiver Implementers,2022-09-11,2024-05-03,2024-08-30,1245900,80.67,119,64.25,0.245,0,1,43.4,66.72,58.42
P01383,D112,I10,Delta Engineering,2023-01-04,2024-01-29,2024-03-07,188500,91.93,38,75.86,0.166,1,1,56.93,76.69,66.14
P01384,D-055,I16,CivicResilience NGO,2021-02-19,2022-08-13,2022-12-28,867600,63.14,137,58.47,0.093,0,0,40.72,57.94,48.95
P01385,D-011,I07,GreenWorks Alliance,2021-01-25,2022-05-20,2022-07-31,1145600,62.01,72,65.2,0.325,0,1,74.96,61.15,67.26
P01386,D18,I06,RapidRelief Local,2023-05-16,2024-12-06,2025-03-10,628400,59.45,94,61.02,0.434,0,1,39.22,57.46,50.44
P01387,D-105,I11,GreenWorks Alliance,2021-05-03,2022-06-27,2022-10-08,492300,61.49,103,65.72,0.392,0,1,59.66,63.02,64.11
P01388,D-051,I03,InfraTrust Consortium,2023-12-23,2025-10-13,2025-12-27,1033600,55.69,75,94.38,0.5,0,1,84.01,98.84,85.91
P01389,D-114,I15,RapidRelief Local,2021-07-21,2022-09-14,2022-12-11,1160100,48.05,88,60.13,0.449,0,1,61.08,61.31,64.54
P01390,D-109,I04,HeatSafe Partners,2023-02-16,2024-12-07,2025-03-02,467700,64.49,85,65.55,0.262,0,1,74.27,67.44,72.23
P01391,D-020,I11,CommunityFirst,2022-11-28,2024-01-22,2024-04-13,792500,56.58,82,65.78,0.442,0,1,73.17,65.01,70.24
P01392,D-044,I16,CommunityFirst,2021-01-23,2022-07-17,2022-12-12,943700,81.99,148,64.79,0.295,0,1,55.59,62.04,56.28
P01393,D-087,I15,CommunityFirst,2023-08-29,2024-10-22,2024-12-15,736400,73.26,54,97.04,0.5,0,1,93.83,93.81,95.68
P01394,D-032,I04,HeatSafe Partners,2022-08-04,2024-05-25,2024-09-01,620200,68.63,99,60.95,0.208,0,1,36.51,59.53,43.84
P01395,D-002,I03,CommunityFirst,2021-11-17,2023-09-08,2023-11-29,705800,64.59,82,68.46,0.455,0,1,63.35,66.6,69.07
P01396,D-061,I04,RapidRelief Local,2024-01-25,2025-11-15,2026-03-13,1000500,72.07,118,54.51,0.091,0,0,53.85,51.42,57.18
P01397,D-025,I14,HeatSafe Partners,2023-07-10,2025-03-31,2025-07-05,1287800,63.81,96,63.22,0.39,0,1,65.06,68.39,67.08
P01398,D-031,I08,RapidRelief Local,2023-01-30,2024-08-22,2024-12-28,506700,65.24,128,63.2,0.337,0,1,51.23,63.76,56.06
P01399,D-005,I04,RapidRelief Local,2022-09-17,2024-07-08,2024-10-21,852200,51.53,105,49.69,0.071,0,0,49.58,55.59,47.49
P01400,D-107,I02,InfraTrust Consortium,2022-04-28,2023-06-22,2023-07-30,1160000,76.49,38,75.9,0.316,1,1,46.67,79.14,63.28
P01401,D-011,I18,HydroBuild Co,2022-06-25,2024-02-15,2024-06-21,1199900,68.39,127,65.64,0.291,0,1,44.79,63.17,60.69
P01402,D-092,I06,RapidRelief Local,2023-03-07,2024-09-27,2025-01-17,837500,75.89,112,61.59,0.492,0,1,72.62,58.95,76.5
P01403,D-005,I12,InfraTrust Consortium,2021-06-29,2022-10-22,2022-11-30,725000,65.77,39,74.23,0.475,1,1,62.15,77.71,64.98
P01404,D-049,I03,GreenWorks Alliance,2023-11-24,2025-09-14,2025-12-11,686800,74.76,88,50.66,0.168,0,0,62.98,60.29,56.72
P01405,D-062,I01,CommunityFirst,2021-03-04,2022-03-29,2022-07-03,1091300,44.43,96,70.58,0.223,0,1,71.95,70.47,68.11
P01406,D47,I16,BlueRiver Implementers,2022-05-30,2023-11-21,2024-03-16,678200,63.12,116,47.28,0.092,0,0,31.86,44.32,43.18
P01407,D-112,I13,GreenWorks Alliance,2022-01-05,2023-08-28,2023-12-06,1481400,97.81,100,72.27,0.232,0,1,34.48,69.53,60.08
P01408,D-095,I04,RapidRelief Local,2023-10-04,2025-07-25,2025-11-04,672300,81.15,102,74.51,0.186,0,1,76.72,71.52,77.1
P01409,D-096,I10,InfraTrust Consortium,2022-04-21,2023-05-16,2023-07-12,487100,69.41,57,78.55,0.241,0,1,43.43,87.6,58.57
P01410,D-025,I15,BlueRiver Implementers,2023-07-19,2024-09-11,2024-11-18,1280900,60.81,68,71.54,0.423,0,1,51.92,67.87,70.25
P01411,D-092,I18,RapidRelief Local,2022-10-11,2024-06-02,2024-10-26,1102900,65.85,146,61.08,0.334,0,1,63.55,57.73,64.27
P01412,D-103,I11,BlueRiver Implementers,2022-06-12,2023-08-06,2023-10-15,703300,80.04,70,62.22,0.315,0,1,50.26,62.84,58.77
P01413,D-030,I02,GreenWorks Alliance,2021-07-08,2022-09-01,2022-11-12,1477500,75.13,72,47.57,0.139,0,0,35.59,43.9,41.39
P01414,D-036,I10,BlueRiver Implementers,2021-09-02,2022-09-27,2022-10-20,476800,89.73,23,55.98,0.099,1,0,35.15,56.78,45.36
P01415,D-088,I09,InfraTrust Consortium,2023-12-27,2025-10-17,2026-01-31,840900,87.11,106,69.3,0.442,0,1,80.85,72.69,78.05
P01416,D059,I02,HydroBuild Co,2021-05-12,2022-07-06,2022-09-08,1730600,59.81,64,73.63,0.234,0,1,57.91,73.65,67.5
P01417,D054,I14,SunBuild Initiative,2022-03-18,2023-12-08,2024-02-23,1418500,74.81,77,55.11,0.122,0,0,52.48,55.91,57.14
P01418,D-026,I05,CommunityFirst,2021-11-01,2023-08-23,2023-12-24,840600,68.33,123,65.64,0.33,0,1,55.73,69.97,62.29
P01419,D-015,I03,HeatSafe Partners,2022-02-18,2023-12-10,2024-04-16,1245300,84.21,128,69.75,0.398,0,1,67.9,74.21,71.42
P01420,D-117,I13,HydroBuild Co,2021-02-23,2022-10-16,2023-02-26,899600,69.12,133,60.66,0.22,0,1,50.84,57.39,56.54
P01421,D-092,I07,HeatSafe Partners,2023-12-29,2025-04-22,2025-06-15,1326000,82.45,54,68.4,0.354,0,1,46.98,69.46,55.11
P01422,D-049,I03,RapidRelief Local,2023-12-28,2025-10-18,2026-01-12,459500,70.52,86,57.72,0.19,0,0,47.26,55.35,62.1
P01423,D-015,I13,Delta Engineering,2024-01-18,2025-09-09,2025-12-01,1727700,89.17,83,70.15,0.301,0,1,72.07,69.3,75.89
P01424,D-051,I18,CivicResilience NGO,2021-09-02,2023-04-25,2023-10-01,872400,58.74,159,67.75,0.303,0,1,78.15,63.28,72.32
P01425,D-057,I16,CommunityFirst,2021-07-10,2023-01-01,2023-03-21,584100,68.59,79,82.23,0.326,0,1,69.33,75.6,76.81
P01426,D-078,I03,CommunityFirst,2022-08-17,2024-06-07,2024-08-26,1160300,71.8,80,75.97,0.498,0,1,59.85,72.39,72.12
P01427,D-106,I06,RapidRelief Local,2022-11-03,2024-05-26,2024-07-13,636900,72.18,48,54.64,0.15,0,0,46.27,57.56,41.89
P01428,D-097,I04,BlueRiver Implementers,2021-11-09,2023-08-31,2024-01-08,708300,66.71,130,71.1,0.198,0,1,65.13,73.28,72.0
P01429,D58,I14,RapidRelief Local,2023-01-05,2024-09-26,2024-12-25,1496700,76.34,90,64.93,0.25,0,1,48.69,71.95,57.93
P01430,D-020,I07,CommunityFirst,2021-09-01,2022-12-25,2023-03-19,1551900,62.99,84,84.02,0.352,0,1,60.89,85.39,68.72
P01431,D-076,I03,HydroBuild Co,2022-12-02,2024-09-22,2024-12-17,913200,77.32,86,40.33,0.131,0,0,47.05,36.75,41.17
P01432,D-079,I15,CivicResilience NGO,2023-04-07,2024-05-31,2024-08-29,1338600,90.6,90,61.59,0.411,0,1,37.7,59.78,59.55
P01433,D-053,I11,CommunityFirst,2022-05-31,2023-07-25,2023-10-16,408800,76.89,83,74.19,0.382,0,1,34.66,81.04,56.17
P01434,D-030,I18,InfraTrust Consortium,2022-05-31,2024-01-21,2024-04-28,814200,74.9,98,78.55,0.37,0,1,54.8,78.88,70.47
P01435,D-075,I12,CommunityFirst,2021-03-01,2022-06-24,2022-09-07,902600,67.56,75,71.81,0.379,0,1,58.69,72.99,61.33
P01436,D-116,I09,GreenWorks Alliance,2021-11-02,2023-08-24,2024-01-21,675500,50.62,150,58.48,0.143,0,0,31.29,61.07,42.02
P01437,D-015,I09,Delta Engineering,2023-09-16,2025-07-07,2025-10-10,827900,84.36,95,66.96,0.398,0,1,44.84,70.03,59.8
P01438,D-039,I06,HeatSafe Partners,2022-11-17,2024-06-09,2024-08-06,478900,72.86,58,70.1,0.5,0,1,57.15,73.71,61.15
P01439,D-093,I13,Delta Engineering,2023-12-16,2025-08-07,2025-11-16,1239800,77.08,101,58.83,0.067,0,0,46.11,54.88,57.31
P01440,D-097,I13,RapidRelief Local,2021-05-11,2023-01-01,2023-04-04,1522900,74.02,93,64.09,0.177,0,1,49.53,68.77,56.11
P01441,D-055,I05,GreenWorks Alliance,2022-05-10,2024-02-29,2024-06-01,842600,65.84,93,62.07,0.323,0,1,52.07,55.8,59.38
P01442,D-003,I02,CommunityFirst,2023-05-16,2024-07-09,2024-09-06,1595900,75.86,59,89.95,0.315,0,1,69.14,89.33,79.26
P01443,D-097,I05,CivicResilience NGO,2021-08-04,2023-05-26,2023-08-02,784700,59.26,68,63.5,0.366,0,1,42.95,67.08,51.4
P01444,D-100,I12,CommunityFirst,2022-06-19,2023-10-12,2024-01-10,1126000,78.41,90,68.3,0.415,0,1,37.74,66.86,51.22
P01445,D-009,I13,BlueRiver Implementers,2023-07-03,2025-02-22,2025-05-22,1606100,70.18,89,62.4,0.299,0,1,47.59,57.45,60.9
P01446,D27,I12,CivicResilience NGO,2023-04-20,2024-08-12,2024-09-18,705700,70.53,37,74.11,0.369,1,1,46.54,66.38,70.09
P01447,D-063,I06,InfraTrust Consortium,2023-12-25,2025-07-17,2025-10-06,694000,81.39,81,79.88,0.5,0,1,66.21,75.53,67.98
P01448,D-066,I16,BlueRiver Implementers,2021-08-13,2023-02-04,2023-05-21,1165700,82.15,106,57.93,0.15,0,0,51.17,57.88,57.74
